Combination,Volume_Fraction,Volume_Fraction_Percent,Young_Modulus_GPa,Young_Modulus_ci_lower,Young_Modulus_ci_upper,Thermal_Conductivity_WperMk,Thermal_Conductivity_ci_lower,Thermal_Conductivity_ci_upper,Enhancement_Factor
Carbon Nanotubes+Glass Fiber,0.300,30.000,34.346,26.729,42.274,47.642,19.948,97.607,9.540
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,0.050,5.000,11.209,8.867,13.523,34.823,21.273,43.231,3.114
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,0.100,10.000,22.609,17.720,27.383,71.699,57.628,86.510,6.280
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,0.150,15.000,34.059,26.615,41.295,108.655,87.286,131.963,9.461
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,0.200,20.000,49.263,38.478,59.806,164.279,130.393,204.731,13.684
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,0.250,25.000,60.575,47.283,73.581,210.504,165.531,268.698,16.826
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes,0.300,30.000,71.790,55.944,87.292,260.248,202.844,340.159,19.942
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.050,5.000,6.240,5.071,7.405,34.718,21.499,43.215,1.733
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.100,10.000,12.095,9.737,14.436,71.598,57.535,86.644,3.360
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.150,15.000,17.753,14.239,21.219,107.541,86.890,129.966,4.931
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.200,20.000,24.958,19.982,29.867,155.357,125.615,187.728,6.933
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.250,25.000,30.107,24.063,36.042,191.210,154.603,231.050,8.363
Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.300,30.000,35.037,27.985,41.952,227.061,183.591,274.371,9.732
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,0.050,5.000,4.284,3.361,5.234,4.337,1.843,8.671,1.190
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,0.100,10.000,8.390,6.518,10.292,8.823,3.746,17.701,2.331
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,0.150,15.000,12.530,9.697,15.361,14.489,6.020,30.316,3.481
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,0.200,20.000,17.981,13.873,22.081,29.257,11.067,64.318,4.995
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,0.250,25.000,21.974,16.923,26.989,45.724,17.200,100.696,6.104
Carbon Fiber+Graphene Nanoplatelets+Glass Fiber,0.300,30.000,25.867,19.900,31.790,66.678,25.054,146.875,7.185
Carbon Fiber+Carbon Nanotubes+Glass Fiber,0.050,5.000,4.271,3.381,5.221,4.325,1.824,8.836,1.186
Carbon Fiber+Carbon Nanotubes+Glass Fiber,0.100,10.000,8.361,6.558,10.268,8.801,3.719,17.986,2.323
Carbon Fiber+Carbon Nanotubes+Glass Fiber,0.150,15.000,12.485,9.751,15.355,14.465,5.922,30.425,3.468
Carbon Fiber+Carbon Nanotubes+Glass Fiber,0.200,20.000,17.913,13.949,22.017,29.143,11.076,63.703,4.976
Carbon Fiber+Carbon Nanotubes+Glass Fiber,0.250,25.000,21.889,17.012,26.898,45.509,17.203,99.718,6.080
Carbon Fiber+Carbon Nanotubes+Glass Fiber,0.300,30.000,25.765,20.001,31.647,66.250,25.082,145.393,7.157
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.050,5.000,4.497,3.659,5.362,24.912,12.075,32.373,1.249
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.100,10.000,9.038,7.320,10.789,53.569,42.138,64.889,2.511
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.150,15.000,13.521,10.940,16.141,80.766,64.740,97.392,3.756
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.200,20.000,19.341,15.658,23.115,118.490,95.114,144.126,5.373
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.250,25.000,23.571,19.075,28.178,149.716,119.164,185.194,6.548
Carbon Fiber+Graphene Nanoplatelets+Carbon Nanotubes+Glass Fiber,0.300,30.000,27.678,22.399,33.092,183.223,144.629,230.490,7.688
